dataset, train_k_1, train_k_2, train_k_5, train_k_10, train_k_combined, test_k_1, test_k_2, test_k_5, test_k_10, test_k_combined
ACSF1,0.87,0.88,0.9,0.89,0.9,0.7,0.75,0.76,0.77,0.76
Adiac,1.0,1.0,1.0,1.0,1.0,0.731,0.729,0.749,0.724,0.744
ArrowHead,0.778,1.0,1.0,1.0,1.0,0.486,0.76,0.737,0.749,0.749
BME,1.0,1.0,1.0,1.0,1.0,0.993,0.993,0.98,0.98,1.0
Beef,0.8,0.633,0.667,0.467,0.667,0.567,0.433,0.433,0.4,0.433
BeetleFly,1.0,1.0,1.0,1.0,1.0,0.9,0.65,0.8,0.85,0.85
BirdChicken,0.85,0.8,0.85,1.0,0.8,0.75,0.75,0.65,0.8,0.75
CBF,1.0,1.0,1.0,1.0,1.0,0.978,0.984,0.979,0.962,0.983
Car,0.933,0.983,0.95,0.95,0.95,0.717,0.8,0.667,0.717,0.75
ChlorineConcentration,0.775,0.732,0.608,0.698,0.837,0.609,0.608,0.568,0.625,0.656
CinCECGTorso,1.0,1.0,1.0,1.0,1.0,0.762,0.743,0.763,0.82,0.802
Coffee,1.0,1.0,1.0,1.0,1.0,0.964,1.0,1.0,0.964,1.0
Computers,0.864,0.824,0.824,0.84,0.86,0.696,0.692,0.72,0.72,0.716
CricketX,1.0,0.979,1.0,1.0,0.997,0.651,0.605,0.621,0.597,0.71
CricketY,0.99,0.982,1.0,0.979,0.995,0.633,0.536,0.585,0.574,0.644
CricketZ,1.0,1.0,0.954,0.964,1.0,0.664,0.646,0.641,0.649,0.721
Crop,0.835,0.829,0.792,0.79,0.867,0.735,0.73,0.724,0.726,0.75
DiatomSizeReduction,1.0,1.0,1.0,1.0,1.0,0.987,0.993,0.993,0.99,0.993
DistalPhalanxOutlineAgeGroup,0.862,0.858,0.85,0.85,0.862,0.763,0.755,0.741,0.741,0.748
DistalPhalanxOutlineCorrect,0.917,0.882,0.902,0.91,0.943,0.743,0.783,0.775,0.75,0.772
DistalPhalanxTW,0.852,0.902,0.8,0.895,0.92,0.683,0.633,0.676,0.647,0.669
ECG200,0.94,0.99,0.94,1.0,0.95,0.81,0.86,0.84,0.84,0.86
ECG5000,1.0,1.0,1.0,1.0,1.0,0.913,0.922,0.924,0.92,0.925
ECGFiveDays,1.0,1.0,1.0,1.0,1.0,0.987,0.991,0.945,0.925,0.974
Earthquakes,0.82,0.82,0.82,0.82,0.82,0.748,0.748,0.748,0.748,0.748
ElectricDevices,0.924,0.908,0.894,0.928,0.942,0.697,0.709,0.691,0.682,0.713
EthanolLevel,0.498,0.696,0.53,0.546,0.643,0.342,0.436,0.348,0.338,0.412
FaceAll,1.0,1.0,1.0,1.0,1.0,0.742,0.739,0.74,0.735,0.766
FaceFour,1.0,1.0,1.0,1.0,1.0,0.682,0.716,0.693,0.625,0.693
FacesUCR,1.0,1.0,1.0,1.0,1.0,0.828,0.801,0.808,0.826,0.855
FiftyWords,1.0,1.0,1.0,1.0,1.0,0.719,0.681,0.692,0.723,0.73
Fish,0.966,0.949,0.983,0.983,0.977,0.846,0.823,0.829,0.834,0.863
FordA,0.931,0.932,0.919,0.913,0.953,0.908,0.915,0.908,0.892,0.917
FordB,0.945,0.945,0.951,0.923,0.941,0.763,0.777,0.767,0.736,0.775
FreezerRegularTrain,0.987,1.0,0.987,0.993,0.993,0.986,0.998,0.984,0.996,0.998
FreezerSmallTrain,1.0,1.0,1.0,1.0,1.0,0.989,0.986,0.981,0.989,0.989
GunPoint,1.0,1.0,1.0,0.98,1.0,0.987,0.993,0.967,0.973,0.98
Ham,0.936,0.954,0.991,1.0,0.963,0.705,0.743,0.6,0.657,0.743
HandOutlines,0.941,0.942,0.93,0.934,0.953,0.916,0.922,0.916,0.938,0.919
Haptics,0.948,0.723,0.942,0.981,0.981,0.51,0.497,0.5,0.474,0.523
Herring,0.703,0.703,0.734,0.797,0.719,0.625,0.625,0.625,0.547,0.594
InlineSkate,0.97,0.96,0.97,0.97,0.97,0.382,0.409,0.398,0.424,0.418
InsectEPGRegularTrain,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
InsectEPGSmallTrain,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
InsectWingbeatSound,0.882,0.991,0.868,0.877,0.9,0.544,0.536,0.546,0.593,0.587
ItalyPowerDemand,0.955,0.97,0.955,0.97,0.955,0.9,0.913,0.894,0.888,0.905
LargeKitchenAppliances,0.88,0.939,0.939,0.925,0.877,0.797,0.768,0.747,0.757,0.797
Lightning2,0.85,0.85,0.85,0.917,0.867,0.623,0.721,0.705,0.623,0.705
Lightning7,1.0,1.0,1.0,1.0,1.0,0.753,0.726,0.74,0.767,0.767
Mallat,1.0,1.0,1.0,0.982,1.0,0.915,0.928,0.932,0.898,0.937
Meat,0.933,0.933,0.95,0.933,0.933,0.783,0.833,0.833,0.867,0.833
MedicalImages,0.958,0.955,0.85,0.934,0.887,0.679,0.704,0.741,0.724,0.749
MiddlePhalanxOutlineAgeGroup,0.8,0.8,0.8,0.798,0.802,0.63,0.623,0.636,0.643,0.636
MiddlePhalanxOutlineCorrect,0.893,0.888,0.897,0.89,0.91,0.797,0.811,0.804,0.825,0.842
MiddlePhalanxTW,0.682,0.662,0.662,0.729,0.674,0.584,0.571,0.578,0.565,0.571
MixedShapesRegularTrain,0.98,1.0,0.952,0.976,0.986,0.915,0.895,0.904,0.901,0.924
MixedShapesSmallTrain,0.96,0.98,1.0,1.0,1.0,0.846,0.842,0.85,0.846,0.878
MoteStrain,1.0,1.0,0.9,0.95,1.0,0.797,0.789,0.811,0.81,0.802
NonInvasiveFetalECGThorax1,0.984,0.983,0.978,0.973,0.99,0.921,0.922,0.909,0.911,0.93
NonInvasiveFetalECGThorax2,0.992,0.989,0.973,0.981,0.991,0.937,0.929,0.922,0.93,0.941
OSULeaf,1.0,0.905,0.94,1.0,1.0,0.715,0.669,0.636,0.669,0.74
OliveOil,1.0,1.0,1.0,1.0,1.0,0.867,0.833,0.8,0.867,0.867
PhalangesOutlinesCorrect,0.867,0.82,0.856,0.864,0.837,0.808,0.761,0.796,0.795,0.783
Phoneme,1.0,1.0,1.0,1.0,1.0,0.206,0.19,0.182,0.193,0.22
PigAirwayPressure,1.0,1.0,1.0,1.0,1.0,0.337,0.255,0.226,0.25,0.269
Plane,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PowerCons,1.0,0.994,1.0,0.978,1.0,0.922,0.889,0.917,0.944,0.922
ProximalPhalanxOutlineAgeGroup,0.865,0.855,0.865,0.865,0.872,0.854,0.849,0.859,0.854,0.849
ProximalPhalanxOutlineCorrect,0.868,0.868,0.89,0.892,0.907,0.838,0.832,0.863,0.856,0.863
ProximalPhalanxTW,0.898,0.888,0.888,0.902,0.902,0.805,0.8,0.824,0.82,0.829
RefrigerationDevices,0.739,0.733,0.749,0.88,0.795,0.507,0.477,0.485,0.501,0.507
ScreenType,0.843,0.835,0.789,0.843,1.0,0.48,0.435,0.453,0.464,0.491
ShapeletSim,1.0,1.0,1.0,1.0,1.0,0.644,0.583,0.706,0.611,0.739
ShapesAll,0.995,0.98,0.998,0.998,0.987,0.837,0.825,0.817,0.84,0.833
SmallKitchenAppliances,0.84,0.709,0.8,0.723,0.845,0.677,0.709,0.672,0.701,0.709
SmoothSubspace,1.0,0.973,0.953,0.953,0.993,0.947,0.96,0.913,0.907,0.933
SonyAIBORobotSurface1,1.0,0.9,1.0,1.0,1.0,0.84,0.782,0.887,0.925,0.9
SonyAIBORobotSurface2,1.0,1.0,1.0,1.0,1.0,0.858,0.878,0.863,0.85,0.878
StarLightCurves,0.987,0.989,0.975,0.971,0.995,0.961,0.964,0.969,0.968,0.97
Strawberry,0.953,0.953,0.958,0.958,0.956,0.943,0.922,0.935,0.919,0.938
SwedishLeaf,0.966,0.996,0.996,0.996,1.0,0.91,0.901,0.904,0.899,0.912
Symbols,1.0,1.0,1.0,1.0,1.0,0.941,0.908,0.942,0.927,0.952
SyntheticControl,1.0,0.997,0.997,1.0,1.0,0.997,0.997,0.987,0.993,0.997
ToeSegmentation1,0.725,0.8,1.0,0.9,0.875,0.711,0.798,0.842,0.803,0.829
ToeSegmentation2,1.0,0.944,0.889,1.0,1.0,0.738,0.777,0.892,0.746,0.792
Trace,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
